名字,最大CP,最大HP,攻擊,防禦,耐力,屬性
長翅鷗,765,105,106,61,120,飛行
大嘴鷗,"2,127",132,175,174,155,飛行
雨翅蛾,"2,270",146,192,150,172,飛行
青綿鳥,824,111,76,132,128,飛行
七夕青鳥,"2,004",153,141,201,181,飛行
熱帶龍,"1,941",186,136,163,223,飛行
暴飛龍,"3,749",180,277,168,216,飛行
烈空坐,"3,835",178,284,170,213,飛行
姆克兒,719,105,101,58,120,飛行
姆克鳥,"1,299",125,142,94,146,飛行
姆克鷹,"2,825",166,234,140,198,飛行
紳士蛾,"1,815",146,185,98,172,飛行
三蜜蜂,494,91,59,83,102,飛行
蜂女王,"2,005",146,149,190,172,飛行
飄飄球,"1,197",173,117,80,207,飛行
隨風球,"2,382",255,180,102,312,飛行
烏鴉頭頭,"2,711",187,243,103,225,飛行
聒噪鳥,"1,791",154,183,91,183,飛行
小球飛魚,"1,248",111,105,179,128,飛行
波克基斯,"3,332",166,225,217,198,飛行
遠古巨蜓,"2,946",168,231,156,200,飛行
天蠍王,"2,692",153,185,222,181,飛行
豆豆鴿,848,118,98,80,137,飛行
咕咕鴿,"1,442",135,144,107,158,飛行
高傲雉雞,"2,734",160,226,146,190,飛行
滾滾蝙蝠,"1,016",139,107,85,163,飛行
心蝙蝠,"1,716",142,161,119,167,飛行
象徵鳥,"2,550",149,204,167,176,飛行
始祖小鳥,"1,842",125,213,89,146,飛行
始祖大鳥,"3,331",153,292,139,181,飛行
鴨寶寶,856,135,84,96,158,飛行
舞天鵝,"2,088",153,182,132,181,飛行
電飛鼠,"1,633",125,158,127,146,飛行
毛頭小鷹,"1,491",146,150,97,172,飛行
勇士雄鷹,"3,088",187,232,152,225,飛行
禿鷹丫頭,"1,271",146,105,139,172,飛行
禿鷹娜,"2,138",200,129,205,242,飛行
龍捲雲,"3,345",158,266,164,188,飛行
雷電雲,"3,345",158,266,164,188,飛行
土地雲,"3,588",171,261,182,205,飛行
,"2,010",145,168,141,171,
,,,,,,
妙蛙種子,"1,115",111,118,111,128,毒
妙蛙草,"1,699",132,151,143,155,毒
妙蛙花,"2,720",160,198,189,190,毒
獨角蟲,456,105,63,50,120,毒
鐵殼蛹,432,111,46,75,128,毒
大針蜂,"1,846",139,169,130,163,毒
阿柏蛇,927,98,110,97,111,毒
阿柏怪,"1,921",132,167,153,155,毒
尼多蘭,816,125,86,89,146,毒
尼多娜,"1,309",146,117,120,172,毒
尼多后,"2,488",173,180,173,207,毒
尼多朗,860,113,105,76,130,毒
尼多力諾,"1,393",133,137,111,156,毒
尼多王,"2,567",161,204,156,191,毒
超音蝠,667,105,83,73,120,毒
大嘴蝠,"1,976",153,161,150,181,毒
走路草,"1,228",111,131,112,128,毒
臭臭花,"1,681",132,153,136,155,毒
霸王花,"2,559",153,202,167,181,毒
毛球,"1,004",132,100,100,155,毒
摩魯蛾,"2,082",146,179,143,172,毒
喇叭芽,"1,033",118,139,61,137,毒
口呆花,"1,611",139,172,92,163,毒
大食花,"2,431",160,207,135,190,毒
瑪瑙水母,"1,040",105,97,149,120,毒
毒刺水母,"2,422",160,166,209,190,毒
臭泥,"1,374",160,135,90,190,毒
臭臭泥,"2,757",193,190,172,233,毒
鬼斯,"1,229",91,186,67,102,毒
鬼斯通,"1,963",111,223,107,128,毒
耿鬼,"2,878",132,261,149,155,毒
瓦斯彈,"1,214",105,119,141,120,毒
雙彈瓦斯,"2,293",139,174,197,163,毒
圓絲蛛,816,105,105,73,120,毒
阿利多斯,"1,772",146,161,124,172,毒
叉字蝠,"2,646",166,194,178,198,毒
千針魚,"2,051",139,184,138,163,毒
毒粉蛾,"1,224",132,98,162,155,毒
毒薔薇,"1,870",118,186,131,137,毒
溶食獸,866,146,80,99,172,毒
吞食獸,"1,978",187,140,159,225,毒
飯匙蛇,"2,105",150,196,118,177,毒
含羞苞,856,105,91,109,120,毒
羅絲雷朵,"2,971",132,243,185,155,毒
臭鼬噗,"1,151",136,121,90,160,毒
坦克臭鼬,"2,358",191,184,132,230,毒
鉗尾蠍,"1,009",105,93,151,120,毒
龍王蠍,"2,453",146,180,202,172,毒
不良蛙,952,116,116,76,134,毒
毒骷蛙,"2,488",164,211,133,195,毒
百足蜈蚣,706,91,83,99,102,毒
車輪毬,"1,144",105,100,173,120,毒
蜈蚣王,"2,447",132,203,175,155,毒
破破袋,"1,000",118,96,122,137,毒
灰塵山,"2,345",160,181,164,190,毒
哎呀球菇,979,144,97,91,170,毒
敗露球菇,"2,140",206,155,139,249,毒
,"1,655",136,148,129,159,
,,,,,,
穿山鼠,"1,261",118,126,120,137,地面
穿山王,"2,374",153,182,175,181,地面
尼多后,"2,488",173,180,173,207,地面
尼多王,"2,567",161,204,156,191,地面
地鼠,676,64,109,78,67,地面
三地鼠,"1,557",98,167,134,111,地面
小拳石,"1,293",105,132,132,120,地面
隆隆石,"1,897",125,164,164,146,地面
隆隆岩,"2,949",160,211,198,190,地面
大岩蛇,"1,101",98,85,232,111,地面
卡拉卡拉,"1,019",118,90,144,137,地面
嘎啦嘎啦,"1,835",132,144,186,155,地面
獨角犀牛,"1,651",160,140,127,190,地面
鑽角犀獸,"3,179",193,222,171,233,地面
烏波,641,125,75,66,146,地面
沼王,"1,992",180,152,143,216,地面
天蠍,"1,857",139,143,184,163,地面
大鋼蛇,"2,414",153,148,272,181,地面
小山豬,741,118,90,69,137,地面
長毛豬,"2,345",187,181,138,225,地面
小小象,"1,206",173,107,98,207,地面
頓甲,"3,013",173,214,185,207,地面
幼基拉斯,"1,040",118,115,93,137,地面
沙基拉斯,"1,766",146,155,133,172,地面
沼躍魚,"1,776",146,156,133,172,地面
巨沼怪,"2,974",187,208,175,225,地面
呆火駝,"1,057",132,119,79,155,地面
噴火駝,"2,193",146,194,136,172,地面
大顎蟻,"1,274",111,162,78,128,地面
超音波幼蟲,"1,225",118,134,99,137,地面
沙漠蜻蜓,"2,661",160,205,168,190,地面
泥泥鰍,819,118,93,82,137,地面
鯰魚王,"2,075",200,151,141,242,地面
天秤偶,787,105,77,124,120,地面
念力土偶,"1,971",132,140,229,155,地面
固拉多,"4,115",171,270,228,205,地面
土台龜,"2,934",180,202,188,216,地面
海兔獸,"2,324",202,169,143,244,地面
圓陸鯊,"1,112",129,124,84,151,地面
尖牙陸鯊,"1,874",143,172,125,169,地面
烈咬陸鯊,"3,962",198,261,193,239,地面
沙河馬,"1,358",143,124,118,169,地面
河馬獸,"3,085",198,201,191,239,地面
超甲狂犀,"3,733",207,241,190,251,地面
天蠍王,"2,692",153,185,222,181,地面
象牙豬,"3,328",200,247,146,242,地面
螺釘地鼠,"1,376",132,154,85,155,地面
龍頭地鼠,"3,244",200,255,129,242,地面
藍蟾蜍,"1,392",153,128,109,181,地面
蟾蜍王,"2,564",193,188,150,233,地面
黑眼鱷,"1,037",118,132,69,137,地面
混混鱷,"1,418",132,155,90,155,地面
流氓鱷,"3,046",180,229,158,216,地面
泥巴魚,"2,162",199,144,171,240,地面
泥偶小人,"1,189",131,127,92,153,地面
泥偶巨人,"2,854",171,222,154,205,地面
土地雲,"3,588",171,261,182,205,地面
,"2,036",151,164,144,179,
,,,,,,
小拳石,"1,293",105,132,132,120,岩石
隆隆石,"1,897",125,164,164,146,岩石
隆隆岩,"2,949",160,211,198,190,岩石
大岩蛇,"1,101",98,85,232,111,岩石
獨角犀牛,"1,651",160,140,127,190,岩石
鑽角犀獸,"3,179",193,222,171,233,岩石
菊石獸,"1,544",98,155,153,111,岩石
多刺菊石獸,"2,786",146,207,201,172,岩石
化石盔,"1,370",91,148,140,102,岩石
鐮刀盔,"2,713",132,220,186,155,岩石
化石翼龍,"2,783",160,221,159,190,岩石
樹才怪,"2,148",146,167,176,172,岩石
壺壺,405,78,17,396,85,岩石
熔岩蝸牛,"1,702",118,139,191,137,岩石
太陽珊瑚,"1,378",125,118,156,146,岩石
幼基拉斯,"1,040",118,115,93,137,岩石
沙基拉斯,"1,766",146,155,133,172,岩石
班基拉斯,"3,834",187,251,207,225,岩石
朝北鼻,993,91,82,215,102,岩石
可可多拉,"1,307",118,121,141,137,岩石
可多拉,"2,056",132,158,198,155,岩石
波士可多拉,"3,000",146,198,257,172,岩石
月石,"2,327",173,178,153,207,岩石
太陽岩,"2,327",173,178,153,207,岩石
觸手百合,"1,291",140,105,150,165,岩石
搖籃百合,"2,211",168,152,194,200,岩石
太古羽蟲,"1,529",111,176,100,128,岩石
太古盔甲,"2,848",153,222,174,181,岩石
古空棘魚,"2,528",187,162,203,225,岩石
頭蓋龍,"1,820",142,218,71,167,岩石
戰槌龍,"3,298",182,295,109,219,岩石
盾甲龍,890,91,76,195,102,岩石
護城龍,"1,539",132,94,286,155,岩石
盆才怪,"1,302",118,124,133,137,岩石
超甲狂犀,"3,733",207,241,190,251,岩石
大朝北鼻,"2,080",132,135,275,155,岩石
石丸子,"1,205",125,121,110,146,岩石
地幔岩,"2,029",146,174,143,172,岩石
龐岩怪,"3,228",166,226,201,198,岩石
石居蟹,"1,224",118,118,128,137,岩石
岩殿居蟹,"2,542",146,188,200,172,岩石
原蓋海龜,"1,488",124,134,146,144,岩石
肋骨海龜,"2,621",151,192,197,179,岩石
始祖小鳥,"1,842",125,213,89,146,岩石
始祖大鳥,"3,331",153,292,139,181,岩石
代拉基翁,"3,698",175,260,192,209,岩石
,"2,083",139,167,173,164,
,,,,,,
綠毛蟲,437,111,55,55,128,蟲
鐵甲蛹,450,118,45,80,137,蟲
巴大蝶,"1,827",132,167,137,155,蟲
獨角蟲,456,105,63,50,120,蟲
鐵殼蛹,432,111,46,75,128,蟲
大針蜂,"1,846",139,169,130,163,蟲
派拉斯,"1,018",98,121,99,111,蟲
派拉斯特,"1,859",132,165,146,155,蟲
毛球,"1,004",132,100,100,155,蟲
摩魯蛾,"2,082",146,179,143,172,蟲
飛天螳螂,"2,706",146,218,170,172,蟲
凱羅斯,"2,959",139,238,182,163,蟲
芭瓢蟲,728,105,72,118,120,蟲
安瓢蟲,"1,346",125,107,179,146,蟲
圓絲蛛,816,105,105,73,120,蟲
阿利多斯,"1,772",146,161,124,172,蟲
蜻蜻蜓,"1,470",139,154,94,163,蟲
榛果球,"1,108",118,108,122,137,蟲
佛烈托斯,"2,282",153,161,205,181,蟲
巨鉗螳螂,"3,001",146,236,181,172,蟲
壺壺,405,78,17,396,85,蟲
赫拉克羅斯,"3,101",160,234,179,190,蟲
刺尾蟲,578,111,75,59,128,蟲
甲殼繭,553,118,60,77,137,蟲
狩獵鳳蝶,"1,765",132,189,98,155,蟲
盾甲繭,553,118,60,77,137,蟲
毒粉蛾,"1,224",132,98,162,155,蟲
溜溜糖球,791,105,93,87,120,蟲
雨翅蛾,"2,270",146,192,150,172,蟲
電螢蟲,"1,771",139,143,166,163,蟲
甜甜螢,"1,771",139,143,166,163,蟲
太古羽蟲,"1,529",111,176,100,128,蟲
太古盔甲,"2,848",153,222,174,181,蟲
圓法師,401,100,45,74,114,蟲
音箱蟀,"1,653",155,160,100,184,蟲
結草兒,488,105,53,83,120,蟲
結草貴婦,"1,773",132,141,180,155,蟲
紳士蛾,"1,815",146,185,98,172,蟲
三蜜蜂,494,91,59,83,102,蟲
蜂女王,"2,005",146,149,190,172,蟲
鉗尾蠍,"1,009",105,93,151,120,蟲
遠古巨蜓,"2,946",168,231,156,200,蟲
蟲寶包,977,111,96,124,128,蟲
寶包繭,"1,370",125,115,162,146,蟲
保母蟲,"2,580",153,205,165,181,蟲
百足蜈蚣,706,91,83,99,102,蟲
車輪毬,"1,144",105,100,173,120,蟲
蜈蚣王,"2,447",132,203,175,155,蟲
石居蟹,"1,224",118,118,128,137,蟲
岩殿居蟹,"2,542",146,188,200,172,蟲
蓋蓋蟲,"1,182",118,137,87,137,蟲
騎士蝸牛,"2,889",146,223,187,172,蟲
電電蟲,"1,023",118,110,98,137,蟲
電蜘蛛,"2,206",146,201,128,172,蟲
小嘴蝸,834,118,72,140,137,蟲
敏捷蟲,"2,441",160,220,120,190,蟲
鐵蟻,"2,659",129,217,188,151,蟲
燃燒蟲,"1,496",125,156,107,146,蟲
火神蛾,"3,632",166,264,189,198,蟲
蓋諾賽克特,"3,353",147,252,199,174,蟲
,"1,601",128.1666667,140.8,135.6333333,149.6333333,
,,,,,,
鬼斯,"1,229",91,186,67,102,幽靈
鬼斯通,"1,963",111,223,107,128,幽靈
耿鬼,"2,878",132,261,149,155,幽靈
夢妖,"1,926",132,167,154,155,幽靈
勾魂眼,"1,476",118,141,136,137,幽靈
怨影娃娃,"1,018",111,138,65,127,幽靈
詛咒娃娃,"2,298",138,218,126,162,幽靈
夜巡靈,706,78,70,162,85,幽靈
彷徨夜靈,"1,591",105,124,234,120,幽靈
飄飄球,"1,197",173,117,80,207,幽靈
隨風球,"2,382",255,180,102,312,幽靈
夢妖魔,"2,615",132,211,187,155,幽靈
花岩怪,"2,072",118,169,199,137,幽靈
黑夜魔靈,"2,388",111,180,254,128,幽靈
雪妖女,"2,040",146,171,150,172,幽靈
洛托姆,"2,031",118,185,159,137,幽靈
騎拉帝納,"3,379",233,187,225,284,幽靈
哭哭面具,982,102,95,141,116,幽靈
死神棺,"2,273",129,163,237,151,幽靈
輕飄飄,"1,257",125,115,134,146,幽靈
胖嘟嘟,"2,338",187,159,178,225,幽靈
燭光靈,"1,006",118,108,98,137,幽靈
燈火幽靈,"1,708",132,169,115,155,幽靈
水晶燈火靈,"3,268",132,271,182,155,幽靈
泥偶小人,"1,189",131,127,92,153,幽靈
泥偶巨人,"2,854",171,222,154,205,幽靈
,"1,926",136,168,150,159,
,,,,,,
小磁怪,"1,362",84,165,121,93,鋼
三合一磁怪,"2,485",118,223,169,137,鋼
佛烈托斯,"2,282",153,161,205,181,鋼
大鋼蛇,"2,414",153,148,272,181,鋼
巨鉗螳螂,"3,001",146,236,181,172,鋼
盔甲鳥,"2,108",139,148,226,163,鋼
大嘴娃,"1,634",118,155,141,137,鋼
可可多拉,"1,307",118,121,141,137,鋼
可多拉,"2,056",132,158,198,155,鋼
波士可多拉,"3,000",146,198,257,172,鋼
鐵啞鈴,976,105,96,132,120,鋼
金屬怪,"1,721",132,138,176,155,鋼
巨金怪,"3,791",160,257,228,190,鋼
雷吉斯奇魯,"2,447",160,143,285,190,鋼
帝王拿波,"2,900",165,210,186,197,鋼
盾甲龍,890,91,76,195,102,鋼
護城龍,"1,539",132,94,286,155,鋼
銅鏡怪,603,128,43,154,149,鋼
青銅鐘,"2,239",142,161,213,167,鋼
路卡利歐,"2,703",146,236,144,172,鋼
自爆磁怪,"3,205",146,238,205,172,鋼
大朝北鼻,"2,080",132,135,275,155,鋼
帝牙盧卡,"4,038",171,275,211,205,鋼
龍頭地鼠,"3,244",200,255,129,242,鋼
騎士蝸牛,"2,889",146,223,187,172,鋼
種子鐵球,941,111,82,155,127,鋼
堅果啞鈴,"2,321",151,158,223,179,鋼
齒輪兒,956,105,98,121,120,鋼
齒輪組,"1,847",132,150,174,155,鋼
齒輪怪,"2,637",132,199,214,155,鋼
駒刀小兵,"1,433",111,154,114,128,鋼
劈斬司令,"2,844",139,232,176,163,鋼
鐵蟻,"2,659",129,217,188,151,鋼
勾帕路翁,"3,022",175,192,229,209,鋼
蓋諾賽克特,"3,353",147,252,199,174,鋼
美錄坦,"1,068",113,118,99,130,鋼
美錄梅塔,"3,599",218,226,190,264,鋼
喵頭目,"2,386",146,195,162,172,鋼
,"2,263",139,173,188,163,
,,,,,,
小火龍,980,103,116,93,118,火
火恐龍,"1,653",129,158,126,151,火
噴火龍,"2,889",157,223,173,186,火
六尾,883,102,96,109,116,火
九尾,"2,279",150,169,190,177,火
卡蒂狗,"1,243",125,136,93,146,火
風速狗,"3,029",173,227,166,207,火
小火馬,"1,697",118,170,127,137,火
烈焰馬,"2,461",139,207,162,163,火
鴨嘴火獸,"2,394",139,206,154,163,火
火伊布,"3,029",139,246,179,163,火
火焰鳥,"3,465",173,251,181,207,火
火球鼠,980,103,116,93,118,火
火岩鼠,"1,653",129,158,126,151,火
火爆獸,"2,889",157,223,173,186,火
熔岩蟲,895,105,118,71,120,火
熔岩蝸牛,"1,702",118,139,191,137,火
戴魯比,"1,234",111,152,83,128,火
黑魯加,"2,635",153,224,144,181,火
鴨嘴寶寶,"1,323",111,151,99,128,火
炎帝,"3,473",207,235,171,251,火
鳳王,"3,863",179,239,244,214,火
火稚雞,"1,093",111,130,87,128,火
力壯雞,"1,652",132,163,115,155,火
火焰雞,"2,848",160,240,141,190,火
呆火駝,"1,057",132,119,79,155,火
噴火駝,"2,193",146,194,136,172,火
煤炭龜,"2,093",146,151,203,172,火
小火焰猴,957,111,113,86,127,火
猛火猴,"1,574",138,158,105,162,火
烈焰猴,"2,683",154,222,151,183,火
鴨嘴炎獸,"3,132",153,247,172,181,火
比克提尼,"3,265",187,210,210,225,火
暖暖豬,"1,083",139,115,85,163,火
炒炒豬,"1,924",173,173,106,207,火
炎武王,"2,982",200,235,127,242,火
爆香猴,956,118,104,94,137,火
爆香猿,"2,350",153,206,133,181,火
火紅不倒翁,"1,442",146,153,86,172,火
達摩狒狒,"3,105",193,263,114,233,火
燭光靈,"1,006",118,108,98,137,火
燈火幽靈,"1,708",132,169,115,155,火
水晶燈火靈,"3,268",132,271,182,155,火
熔蟻獸,"2,395",166,204,129,198,火
燃燒蟲,"1,496",125,156,107,146,火
火神蛾,"3,632",166,264,189,198,火
萊希拉姆,"4,038",171,275,211,205,火
,"2,140",143.0212766,183.0425532,136.3617021,168.6595745,
,,,,,,
傑尼龜,946,111,94,121,127,水
卡咪龜,"1,488",131,126,155,153,水
水箭龜,"2,466",158,171,207,188,水
可達鴨,"1,106",118,122,95,137,水
哥達鴨,"2,450",160,191,162,190,水
蚊香蝌蚪,829,105,101,82,120,水
蚊香君,"1,419",139,130,123,163,水
蚊香泳士,"2,586",173,182,184,207,水
瑪瑙水母,"1,040",105,97,149,120,水
毒刺水母,"2,422",160,166,209,190,水
呆呆獸,"1,226",173,109,98,207,水
呆殼獸,"2,545",180,177,180,216,水
小海獅,971,139,85,121,163,水
白海獅,"1,985",173,139,177,207,水
大舌貝,"1,080",91,116,134,102,水
刺甲貝,"2,547",118,186,256,137,水
大鉗蟹,"1,561",91,181,124,102,水
巨鉗蟹,"2,829",125,240,181,146,水
墨海馬,"1,056",91,129,103,102,水
海刺龍,"2,093",125,187,156,146,水
角金魚,"1,152",111,123,110,128,水
金魚王,"2,162",160,175,147,190,水
海星星,"1,157",91,137,112,102,水
寶石海星,"2,584",132,210,184,155,水
鯉魚王,274,78,29,85,85,水
暴鯉龍,"3,391",180,237,186,216,水
拉普拉斯,"2,641",228,165,174,277,水
水伊布,"3,114",228,205,161,277,水
菊石獸,"1,544",98,155,153,111,水
多刺菊石獸,"2,786",146,207,201,172,水
化石盔,"1,370",91,148,140,102,水
鐮刀盔,"2,713",132,220,186,155,水
小鋸鱷,"1,131",118,117,109,137,水
藍鱷,"1,722",139,150,142,163,水
大力鱷,"2,857",166,205,188,198,水
燈籠魚,"1,119",153,106,97,181,水
電燈怪,"2,085",221,146,137,268,水
瑪力露,461,146,37,93,172,水
瑪力露麗,"1,588",187,112,152,225,水
蚊香蛙皇,"2,449",173,174,179,207,水
烏波,641,125,75,66,146,水
沼王,"1,992",180,152,143,216,水
呆呆王,"2,545",180,177,180,216,水
千針魚,"2,051",139,184,138,163,水
太陽珊瑚,"1,378",125,118,156,146,水
鐵炮魚,912,98,127,69,111,水
章魚桶,"2,315",153,197,141,181,水
巨翅飛魚,"2,108",139,148,226,163,水
刺龍王,"2,641",153,194,194,181,水
水君,"2,983",187,180,235,225,水
水躍魚,"1,128",118,126,93,137,水
沼躍魚,"1,776",146,156,133,172,水
巨沼怪,"2,974",187,208,175,225,水
蓮葉童子,598,105,71,77,120,水
蓮帽小童,"1,197",132,112,119,155,水
樂天河童,"2,323",160,173,176,190,水
長翅鷗,765,105,106,61,120,水
大嘴鷗,"2,127",132,175,174,155,水
溜溜糖球,791,105,93,87,120,水
